Date,Portfolio Value
2019-05-09,116831.80917892874
2019-05-10,117554.72212372885
2019-05-14,115737.66728995182
2019-05-15,116585.52446588899
2019-05-16,118549.56053489685
2019-05-17,117901.10221634651
2019-05-20,117518.57039511809
2019-05-21,118220.72552974777
2019-05-22,117933.03209147658
2019-05-23,116106.49380166573
2019-05-24,116512.57450864582
2019-05-28,116033.13066974001
2019-05-29,114919.73820861803
2019-05-30,115205.10879837007
2019-05-31,113085.23168437606
2019-06-03,112632.68755342894
2019-06-04,114907.32241174897
2019-06-05,116620.9008734746
2019-06-06,117615.04414079098
2019-06-07,119037.07357309187
2019-06-10,118970.4397685632
2019-06-11,119023.28567976158
2019-06-12,118889.63046226808
2019-06-13,119389.13671139345
2019-06-14,119023.7303983288
2019-06-17,119187.49543736601
2019-06-18,120399.40509560525
2019-06-19,120978.04891645211
2019-06-20,122234.89257488909
2019-06-21,121784.68422807081
2019-06-24,121698.79196140451
2019-06-26,120581.93016440782
2019-06-27,120518.63642476632
2019-06-28,120202.3017453943
2019-07-01,120911.2976923906
2019-07-02,121642.70231741201
2019-07-03,122430.50680725816
2019-07-05,122497.69406629787
2019-07-08,122138.86335047375
2019-07-09,122140.03346604735
2019-07-10,122868.09583037015
2019-07-11,123765.55314550403
2019-07-12,124760.74836399683
2019-07-15,124885.58424768223
2019-07-16,124291.06221150726
2019-07-17,123663.33164797793
2019-07-18,123792.68605563254
2019-07-19,123034.03350315594
2019-07-22,123341.92569106145
2019-07-23,124472.30951135332
2019-07-24,124093.53698913199
2019-07-25,123076.6905124762
2019-07-26,123560.72007824265
2019-07-29,123533.89374083097
2019-07-30,123097.4877309539
2019-07-31,121186.74679861062
2019-08-01,120250.51679425382
2019-08-02,119259.22395957449
2019-08-05,115677.96703393389
2019-08-06,117442.16535187163
2019-08-08,119773.3506417883
2019-08-09,118792.8808962529
2019-08-12,117322.93033761307
2019-08-13,119701.06956591127
2019-08-14,116357.52048509088
2019-08-15,116348.30420106598
2019-08-16,118481.23582974315
2019-08-19,120113.72328860247
2019-08-20,118600.70333215276
2019-08-21,119758.66659251279
